case_id,topology_name,fault_category,osi_layer,concept_tag,what_was_broken,symptom_description,show_command_used,show_command_output,expected_root_cause,expected_fix,severity,notes,case_type
C028,Lab4_ACL_NAT,NAT,Layer3,Interfaces not marked inside/outside,ip nat inside / ip nat outside commands removed from the respective interfaces,"NAT configuration exists and looks syntactically correct, but no translations ever occur.",show ip nat statistics,"Router#show ip nat statistics
Total active translations: 0
Outside interfaces:
Inside interfaces:
Hits: 0  Misses: 0","Neither interface is marked as NAT inside or outside, so even though the 'ip nat inside source' statement exists, the router has no way of knowing which traffic direction to translate.","1. Check current inside/outside assignment: show ip nat statistics -- note the empty Inside/Outside interfaces lists
2. Mark the LAN interface as inside: interface Gi0/0 -> ip nat inside
3. Mark the internet-facing interface as outside: interface Gi0/1 -> ip nat outside
4. Re-verify: show ip nat statistics should now list both interfaces correctly
5. Re-test internet access and confirm show ip nat translations populates with active entries.",High,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C029,Lab4_ACL_NAT,NAT,Layer3,NAT source ACL missing a subnet,access-list 1 permit 192.168.10.0 0.0.0.255 only (missing 192.168.20.0/24),One internal subnet reaches the internet fine via NAT; a second internal subnet gets no internet access at all.,show run | include access-list 1,"Router#show run | include access-list 1
access-list 1 permit 192.168.10.0 0.0.0.255","The ACL that defines which internal traffic gets NAT-translated only covers the first subnet (192.168.10.0/24); the second subnet (192.168.20.0/24) is never matched, so it's never translated and can't reach the internet.","1. Compare which subnets exist internally against what's permitted: show run | include access-list 1, and show ip route or show vlan brief for the full list of internal subnets
2. Add the missing subnet to the ACL: access-list 1 permit 192.168.20.0 0.0.0.255
3. Re-verify: show access-lists 1 should now show both permit lines
4. Re-test internet access from a host on the previously-unaffected... previously affected subnet.",Medium,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C030,Lab4_ACL_NAT,NAT,Layer3,Static NAT wrong internal target,ip nat inside source static tcp 192.168.10.99 80 203.0.113.5 80 (wrong internal IP; real server is .50),External users trying to reach the published web server land on the wrong internal host / get no response.,show ip nat translations,"Router#show ip nat translations
Pro Inside global         Inside local          Outside local      Outside global
tcp 203.0.113.5:80        192.168.10.99:80      ---                ---",The static NAT mapping publishes the public IP/port to the wrong internal host (192.168.10.99) instead of the actual web server (192.168.10.50).,"1. Confirm the real web server's IP: check the server's own IP configuration or DHCP binding
2. Remove the incorrect static mapping: no ip nat inside source static tcp 192.168.10.99 80 203.0.113.5 80
3. Add the correct mapping: ip nat inside source static tcp 192.168.10.50 80 203.0.113.5 80
4. Verify: show ip nat translations shows the corrected Inside local address
5. Re-test from an external/simulated-internet host by browsing to 203.0.113.5.",Medium,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C031,Lab5_Wireless,Wireless,Layer2,WPA2 passphrase mismatch,AP's WPA2-PSK passphrase changed without updating client wireless profiles,Wireless clients see the SSID in range but fail to authenticate/connect.,Client wireless connection status,"PC-Wireless> Connection Status
SSID: CorpWiFi
Security: WPA2-PSK
Status: Authentication Failed - Incorrect Password","The passphrase configured on the AP no longer matches the passphrase saved in client wireless profiles, so WPA2 4-way handshake authentication fails.","1. Confirm the current AP passphrase in its configuration GUI/CLI
2. Update every affected client's saved wireless profile to match: Desktop > PC Wireless > Connect, re-enter the correct passphrase
3. For a fleet of devices, consider documenting the change and notifying users rather than fixing one at a time
4. Re-verify connection status shows 'Associated' / 'Connected' after reconnecting.",Medium,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C032,Lab5_Wireless,Wireless,Layer2,SSID broadcast disabled,AP configured with broadcast-ssid disable,Wireless clients cannot see the network name in their available-networks scan at all.,show run (on AP/WLC),"AP#show run | include ssid
wlan CorpWiFi
 broadcast-ssid disable","SSID broadcast is disabled on the AP, so it doesn't announce its network name in beacon frames -- clients doing a normal scan simply never see it listed.","1. Confirm the setting: check the AP's wireless configuration for a 'broadcast SSID' / 'hidden network' toggle
2. If broadcasting was unintentionally disabled, re-enable it: wlan CorpWiFi -> no broadcast-ssid disable
3. If hiding the SSID is intentional (a security choice), instead manually configure the SSID name on each client (Windows: 'connect to a hidden network')
4. Re-test that clients can see (or manually connect to) the network as intended.",Low,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C033,Lab5_Wireless,Wireless,Layer2,Band/channel unsupported by client,"AP set to broadcast only on 5GHz, channel 149","One specific device (older wireless adapter) cannot see or connect to the network, while newer devices connect fine.",Client wireless adapter properties,"PC-Wireless (older model)> Adapter properties
Supported bands: 2.4GHz only
AP broadcasting: 5GHz, Channel 149 (not visible to this adapter)","The AP is broadcasting exclusively on 5GHz, which the affected client's wireless adapter hardware does not support (2.4GHz only), so it simply never appears in that device's scan results.","1. Check the affected device's supported bands in its adapter properties
2. On the AP, enable dual-band broadcasting or add a 2.4GHz SSID alongside the 5GHz one, if hardware supports it
3. If the AP is single-radio 5GHz-only, the practical fix is a hardware/adapter upgrade for the affected client, or a secondary 2.4GHz AP
4. Document this as a hardware compatibility issue rather than a configuration error in your review log.",Medium,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C034,Lab5_Wireless,Wireless,Layer3,Wireless VLAN has no matching DHCP scope,"VLAN 50 (wireless) created and assigned to the AP's uplink, but no DHCP pool exists for 192.168.50.0/24",Wireless clients authenticate and associate successfully but never receive a usable IP address.,show vlan brief ; ipconfig (on wireless client),"Switch#show vlan brief
50   Wireless                        active    Gi0/2

PC-Wireless> ipconfig
IP Address.....................: 169.254.12.45 (APIPA - no DHCP response)","The wireless VLAN (50) and its subnet (192.168.50.0/24) exist at Layer 2/3, but no DHCP pool has been configured to serve that subnet, so clients fall back to self-assigned APIPA addresses.","1. Confirm the wireless VLAN's subnet: check the SVI or router subinterface for VLAN 50 (e.g. 192.168.50.1/24)
2. Create a matching DHCP pool: ip dhcp pool WIRELESS_POOL -> network 192.168.50.0 255.255.255.0 -> default-router 192.168.50.1 -> dns-server 192.168.50.53 (or your DNS IP)
3. If the DHCP server is centralized elsewhere, also add ip helper-address 192.168.50.1... i.e. the relay address to the DHCP server, on the VLAN 50 interface
4. Release/renew on a wireless client and confirm it now gets a 192.168.50.x address.",High,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C046,Lab1_TwoVLAN,Switching,Layer2,Port security violation shutdown,"switchport port-security maximum 1 configured, then a second device's MAC address appeared on the port",A PC that was working fine suddenly loses all connectivity after another device (e.g. a personal laptop) was plugged into the same wall jack temporarily.,show port-security interface Fa0/2,"Switch#show port-security interface Fa0/2
Port Security              : Enabled
Port Status                : Secure-shutdown
Violation Mode              : Shutdown
Maximum MAC Addresses        : 1
Total MAC Addresses          : 1
Last Source Address:Vlan     : 00E0.8F1A.2C3B:10
Security Violation Count     : 1","Port security detected a second, unauthorized MAC address on a port limited to one, and per the configured violation mode (shutdown) it err-disabled the port.","1. Confirm the violation: show port-security interface Fa0/2 -- 'Port Status: Secure-shutdown' confirms this is a security shutdown, not a cable/hardware fault
2. Identify the offending MAC/device from 'Last Source Address' and investigate whether it was authorized
3. Re-enable the port: interface Fa0/2 -> shutdown -> no shutdown (or use 'errdisable recovery cause psecure-violation' for auto-recovery)
4. If the new device is legitimate, either increase 'switchport port-security maximum' or clear the sticky MAC and let it relearn
5. Re-verify with show port-security interface that the port returns to 'Secure-up'.",Medium,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C047,Lab1_TwoVLAN,Switching,Layer1/2,Duplex mismatch,One side of a link set to half-duplex while the other auto-negotiates to full-duplex,"Connection between two switches (or a switch and PC) is up but extremely slow and unreliable, with many retransmissions, despite both ends showing 'up'.",show interfaces Fa0/1,"Switch#show interfaces Fa0/1
FastEthernet0/1 is up, line protocol is up
  Full-duplex, 100Mb/s
  ...
  5 late collisions, 0 lost carrier
  Input errors: 120, CRC: 45","A duplex mismatch (one side half, one side full) causes excessive late collisions and CRC errors, resulting in a link that appears 'up' but performs very poorly.","1. Check duplex/speed on both ends of the suspect link: show interfaces <port> on each device, look for high 'late collisions' or CRC error counts as a symptom
2. Standardize both ends to the same setting -- best practice is 'auto' on both, or explicitly matching full-duplex on both: interface Fa0/1 -> duplex full -> speed 100
3. Re-check error counters after the fix: show interfaces Fa0/1 -- late collisions should stop incrementing
4. Re-test throughput/reliability across the link.",Medium,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C048,Lab3_Routing,Routing,Layer3,EIGRP autonomous system number mismatch,"Router A configured with 'router eigrp 100', Router B configured with 'router eigrp 200'","Two routers on a shared link never form an EIGRP neighbor relationship, despite matching IP addressing and no ACLs in the way.",show ip eigrp neighbors,"RouterA#show ip eigrp neighbors
EIGRP-IPv4 Neighbors for AS(100)
(no neighbors listed)",EIGRP requires both routers to use the same Autonomous System (AS) number to form a neighbor relationship; Router A (AS 100) and Router B (AS 200) will never see each other as valid EIGRP neighbors.,"1. Check each router's configured AS number: show run | include router eigrp
2. Standardize both routers to the same AS number, matching your design (e.g. both to 100): no router eigrp 200, then router eigrp 100 -> network 192.168.30.0 0.0.0.3
3. Re-verify: show ip eigrp neighbors should now list the other router
4. Confirm routes are exchanged: show ip route should show 'D' (EIGRP) entries for the remote subnet.",High,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C049,Lab4_ACL_NAT,Routing/ACL,Layer3/4,MTU mismatch on a WAN link causing fragmentation issues,One router's serial/WAN interface MTU manually lowered to 1400 while the other end stays at default 1500,"Small packets (like pings) succeed, but large file transfers or certain websites time out or load partially across the WAN link.",show interfaces Serial0/0/0 | include MTU ; ping with large packet + do-not-fragment,"RouterA#show interfaces Serial0/0/0 | include MTU
  MTU 1400 bytes, BW 1544 Kbit/sec

PC1> ping 203.0.113.10 -l 1472 -f
Packet needs to be fragmented but DF set.","An MTU mismatch between the two ends of the WAN link causes large packets to require fragmentation; when the Don't Fragment (DF) bit is set (common with many modern applications/OS defaults), those packets are dropped instead, causing intermittent large-transfer failures while small packets (like basic pings) succeed.","1. Compare MTU on both ends of the WAN link: show interfaces <int> | include MTU on each router
2. Standardize both ends to match (commonly 1500 for Ethernet-based WAN, or whatever your ISP/link type specifies): interface Serial0/0/0 -> mtu 1500
3. Re-test with a large ping using the do-not-fragment flag to confirm the issue is resolved: ping <dest> -l 1472 -f (should now succeed if 1500 fits)
4. Re-test real application traffic (file transfer, web browsing) across the link.",Medium,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C050,Lab2_DHCP_DNS,DNS,Layer7,DNS forwarder to unreachable external resolver,Internal DNS server's forwarder address configured to an unreachable/incorrect external DNS IP,"Internal hostnames (e.g. fileserver.local) resolve fine, but external/internet domains (e.g. google.com) fail to resolve for all users.",nslookup (internal vs external) on a PC,"PC1> nslookup fileserver.local
Server:  dns.local
Address:  192.168.10.53
Name:    fileserver.local
Address:  192.168.10.50

PC1> nslookup google.com
Server:  dns.local
Address:  192.168.10.53
*** dns.local can't find google.com: Server failed","The internal DNS server correctly resolves its own local zone records, but its configured forwarder (used for anything outside its own zone) points to an unreachable or incorrect external DNS server, so external domain lookups consistently fail.","1. Confirm the pattern: internal names resolve, external names fail -- this narrows it to a forwarder issue rather than a general DNS outage
2. Check the internal DNS server's forwarder/upstream setting in its configuration
3. Correct it to a reachable, valid external resolver (e.g. the ISP's DNS or a public resolver like 8.8.8.8, assuming internet reachability exists from the DNS server itself)
4. Confirm the DNS server itself has a working route to the internet: ping 8.8.8.8 from the DNS server
5. Re-test with nslookup google.com from a client to confirm external resolution now works.",Medium,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C035,Lab1_TwoVLAN,VLAN/Routing,Layer2/3,Router-on-a-stick subinterface misconfig,Sub-interface Gi0/0.30 missing 'encapsulation dot1Q 30' or tagged with the wrong VLAN ID,"Hosts within VLAN 10 can talk to each other, hosts within VLAN 30 can talk to each other, but VLAN 10 cannot reach VLAN 30 and vice versa, even though the switch trunk and VLANs are correctly configured",Diagnostic approach (generic),"Check each router subinterface with 'show ip interface brief' (subinterfaces should show 'up/up') and 'show run | section interface Gi0/0' to confirm each subinterface has the correct 'encapsulation dot1Q <vlan-id>' matching the VLAN it should serve, and the correct IP for that VLAN's subnet. A common mistake is forgetting the encapsulation line entirely, tagging the wrong VLAN number, or omitting the 'native' keyword on the subinterface meant to carry the native VLAN.","One or more router subinterfaces in the router-on-a-stick setup have a missing/incorrect 802.1Q encapsulation VLAN tag, so the router isn't correctly routing traffic tagged for that VLAN","1. On the router, re-enter the subinterface: interface Gi0/0.30
2. Set the correct encapsulation: encapsulation dot1Q 30
3. Confirm/re-apply the IP address: ip address 192.168.30.1 255.255.255.0
4. Verify with 'show ip interface brief' that all subinterfaces show up/up and with the right VLAN tag via 'show vlans' on the router
5. Also confirm the switchport connecting to the router is trunked and allows all relevant VLANs.",High,"Generic/conceptual case - explain in your own words in the review log; no literal CLI capture required, but reasoning should reference realistic show-command fields",generic_conceptual
C036,Lab1_TwoVLAN,VLAN/Routing,Layer2/3,Physical interface has IP instead of subinterfaces,IP address mistakenly configured on the physical Gi0/0 interface instead of on subinterfaces,"No inter-VLAN routing works at all; devices can't even reach the router from any VLAN, despite cabling and trunk being correct",Diagnostic approach (generic),Compare 'show run | section interface Gi0/0' against the router-on-a-stick design: the physical interface should generally have NO IP address (just 'no shutdown'); all addressing belongs on the subinterfaces. An IP on the physical parent interface alongside subinterfaces is a classic misconfiguration that breaks the 802.1Q tagging model on that port.,"IP address configured on the physical parent interface rather than on the VLAN subinterfaces, breaking the trunk encapsulation model","1. Remove the IP from the physical interface: interface Gi0/0 -> no ip address
2. Ensure the physical interface is enabled: no shutdown
3. Confirm each subinterface (Gi0/0.10, Gi0/0.30) has its own correct encapsulation and IP
4. Re-verify with show ip interface brief and test inter-VLAN ping.",High,"Generic/conceptual case - explain in your own words in the review log; no literal CLI capture required, but reasoning should reference realistic show-command fields",generic_conceptual
C037,Lab1_TwoVLAN,Routing,Layer3,L3 switch routing disabled,'ip routing' not enabled globally on a Layer 3 switch being used instead of a router,"SVIs (VLAN interfaces) on the L3 switch show 'up/up' and each VLAN works internally, but no traffic passes between VLANs",Diagnostic approach (generic),"On a Layer 3 switch, inter-VLAN routing requires the global command 'ip routing' -- without it, the switch will not route between SVIs even if configured correctly. Check with 'show ip route' or 'show run | include ip routing'; if the line is absent, routing is disabled at the switch level.","Global 'ip routing' is not enabled on the Layer 3 switch, so inter-VLAN traffic is never routed despite correctly configured SVIs","1. Confirm: show run | include ip routing (should be absent if this is the issue)
2. Enable globally: configure terminal -> ip routing
3. Verify each VLAN's SVI is up: show ip interface brief, and each 'interface vlan X' should be no shutdown with a valid IP
4. Re-test inter-VLAN connectivity.",High,"Generic/conceptual case - explain in your own words in the review log; no literal CLI capture required, but reasoning should reference realistic show-command fields",generic_conceptual
C038,Lab3_Routing,Routing,Layer3,Asymmetric/one-way static route,"Static route added only on Router A pointing to Router B's LAN, but no return route configured on Router B","Site A can successfully ping Site B's hosts, but Site B cannot ping back to Site A -- connectivity works in only one direction",Diagnostic approach (generic),"Check 'show ip route' on BOTH routers, not just the one where the problem was first noticed. If Router A has a route to Site B's subnet but Router B's table has no route back to Site A's subnet, replies can never return even though the initial request got through.",A static route exists in only one direction; the return path back to the originating subnet was never configured on the other router,"1. Check routing tables on both routers: show ip route on Router A AND Router B
2. Add the missing static route on Router B: ip route <Site-A-subnet> <mask> <next-hop>
3. Verify with show ip route on Router B
4. Test bidirectionally to confirm symmetry.",Medium,"Generic/conceptual case - explain in your own words in the review log; no literal CLI capture required, but reasoning should reference realistic show-command fields",generic_conceptual
C039,Lab3_Routing,Routing,Layer3,Duplicate OSPF router ID,Two routers accidentally configured with the same OSPF router ID,"OSPF neighbor relationships are unstable or fail to form correctly between more than 2 routers in the area, even though physical links and IP addressing are correct",Diagnostic approach (generic),Run 'show ip ospf' on each router and compare the 'Router ID' field. OSPF requires every router in the domain to have a unique router ID. Two routers sharing the same ID cause routing table corruption or flapping adjacencies.,"Two OSPF routers have an identical router ID, causing conflicting link-state advertisements and unstable adjacencies","1. Compare router IDs: show ip ospf on each router
2. Manually set a unique router ID on the conflicting router: router ospf 1 -> router-id <unique-id>
3. Force renegotiation: clear ip ospf process
4. Verify with show ip ospf neighbor that adjacencies stabilize.",Medium,"Generic/conceptual case - explain in your own words in the review log; no literal CLI capture required, but reasoning should reference realistic show-command fields",generic_conceptual
C040,Lab1_TwoVLAN,Switching/STP,Layer2,Spanning Tree blocking expected path,Redundant switch link causes STP to block a port that admin expected to be forwarding,"One switch-to-switch link appears physically connected and 'up', but traffic never seems to use it; after unplugging the 'main' link, there's a lengthy delay before traffic recovers",Diagnostic approach (generic),Run 'show spanning-tree' and look at port states (Blocking / Listening / Learning / Forwarding). A Blocking port is intentional STP behavior preventing a Layer 2 loop -- not necessarily a fault. The ~30-50s recovery delay with default STP timers can look like an outage to someone unfamiliar with STP convergence.,Spanning Tree Protocol is correctly blocking a redundant path to prevent a Layer 2 loop; the perceived 'fault' is expected STP convergence delay after a topology change,"1. Confirm with show spanning-tree which port is blocking and why (root bridge election, port cost, etc.)
2. If this is intentional redundancy, document it rather than 'fixing' it
3. If faster convergence is needed, enable PortFast on access-only ports, or switch to Rapid PVST+: spanning-tree mode rapid-pvst (reduces convergence from ~50s to a few seconds)
4. Re-test failover time after the change.",Low,"Generic/conceptual case - explain in your own words in the review log; no literal CLI capture required, but reasoning should reference realistic show-command fields",generic_conceptual
C041,Lab2_DHCP_DNS,DHCP,Layer3,Missing DHCP relay (ip helper-address),"DHCP server is on a different subnet/VLAN than the requesting clients, and the router has no 'ip helper-address' configured","Clients on a remote VLAN/subnet never receive an IP address via DHCP, while clients on the same subnet as the DHCP server work fine",Diagnostic approach (generic),"DHCP discovery messages are broadcasts, and routers don't forward broadcasts between subnets by default. Check the router interface facing the client's VLAN for an 'ip helper-address <dhcp-server-ip>' line with 'show run | section interface <vlan-int>'.","The router is not configured to relay DHCP broadcast requests to the remote DHCP server, so clients on other subnets never reach it","1. Identify the affected VLAN's router interface/SVI
2. Add the relay: interface Vlan50 -> ip helper-address <DHCP-server-IP>
3. This converts client broadcasts into a unicast forward to the DHCP server
4. Release/renew on an affected client and confirm it now receives an address from the correct pool.",High,"Generic/conceptual case - explain in your own words in the review log; no literal CLI capture required, but reasoning should reference realistic show-command fields",generic_conceptual
C042,Lab4_ACL_NAT,ACL/Routing,Layer3,ACL blocking routing protocol updates,An ACL applied on a transit interface unintentionally blocks OSPF/EIGRP multicast traffic,"Two routers that should be forming a routing adjacency never do, despite correct IP addressing, matching subnets, and matching routing protocol configuration on both sides",Diagnostic approach (generic),"Check 'show access-lists' and confirm whether an ACL on the transit interface permits the routing protocol's traffic (OSPF uses multicast 224.0.0.5/224.0.0.6, protocol 89; EIGRP uses 224.0.0.10). A broad deny or narrow permit-only-known-apps ACL silently blocks routing hellos with no obvious error.","An ACL on the link is blocking the routing protocol's multicast/protocol traffic, preventing the neighbor adjacency from forming","1. Review the ACL applied to the transit interface: show access-lists and show ip interface <int> | include access list
2. Add an explicit permit for the routing protocol, placed ABOVE any deny statements: permit ospf any any (or permit the specific multicast group/protocol number)
3. Re-verify: show ip ospf neighbor should progress toward FULL state
4. Confirm routes are learned with show ip route.",High,"Generic/conceptual case - explain in your own words in the review log; no literal CLI capture required, but reasoning should reference realistic show-command fields",generic_conceptual
C043,Lab4_ACL_NAT,NAT,Layer3,NAT/PAT port exhaustion,Too many simultaneous internal connections exceed available PAT translation ports on the single overloaded outside IP,"Internet access works fine most of the day but degrades or fails intermittently during peak hours, with some users unable to load pages while others are unaffected",Diagnostic approach (generic),Check 'show ip nat statistics' and 'show ip nat translations' during peak load; a very high 'Total active translations' count close to the practical PAT limit signals port exhaustion rather than a hard misconfiguration.,"The NAT overload (PAT) pool is running out of available translation ports during high-usage periods, causing intermittent new-connection failures","1. Confirm the pattern by checking translation counts during both normal and peak periods
2. Options: (a) add a pool of multiple outside IPs instead of overloading a single one: ip nat pool OUTSIDE_POOL <ip-range> netmask ... then ip nat inside source list 1 pool OUTSIDE_POOL overload; (b) reduce translation timeout: ip nat translation timeout 300; (c) investigate/reduce unnecessary long-lived internal connections
3. Re-monitor during peak hours after the change.",Medium,"Generic/conceptual case - explain in your own words in the review log; no literal CLI capture required, but reasoning should reference realistic show-command fields",generic_conceptual
C044,Lab5_Wireless,Wireless,Layer2,Client isolation enabled,"AP has 'client isolation' (peer-to-peer blocking) enabled, intended for guest networks","Wireless clients can all reach the internet/gateway fine, but cannot see or communicate with each other or with wired devices on the same VLAN (e.g. can't print or access a shared folder)",Diagnostic approach (generic),"Check the AP/WLC's wireless security or advanced settings for a 'client isolation' or 'peer-to-peer blocking' option. Often enabled by default on guest SSIDs, but breaks legitimate local communication if mistakenly enabled on a main/corporate SSID.","Client isolation is enabled on the AP, intentionally blocking direct communication between wireless clients (and often wireless-to-wired on the same subnet)","1. Locate the isolation/peer-blocking setting in the AP or WLC configuration
2. Disable it on SSIDs where peer communication is required (typical for corporate SSIDs)
3. Keep it enabled only on guest/public SSIDs as a deliberate security measure
4. Re-test peer-to-peer access (e.g. ping between two wireless clients, or a wireless client to a wired printer).",Medium,"Generic/conceptual case - explain in your own words in the review log; no literal CLI capture required, but reasoning should reference realistic show-command fields",generic_conceptual
C045,Lab3_Routing,Gateway,Layer3,First-hop redundancy protocol misconfigured,Two routers configured for gateway redundancy (e.g. HSRP) have mismatched priority/group settings or a duplicate virtual IP conflict,"Under normal conditions everything works, but when the primary gateway router is taken down for maintenance, hosts lose connectivity entirely instead of failing over to the backup router",Diagnostic approach (generic),"Check 'show standby brief' on both routers. Confirm both are in the same HSRP group number, reference the same virtual IP, and priority/preempt settings are set so the backup takes over when the primary goes down. A mismatched group number or virtual IP means the routers never form a redundancy pair.","The first-hop redundancy protocol (e.g. HSRP) is misconfigured -- mismatched group numbers, virtual IP, or missing 'preempt' -- so failover to the backup router does not occur","1. Compare HSRP config on both routers: show standby brief
2. Align the group and virtual IP: interface Gi0/0 -> standby 1 ip 192.168.10.254
3. Set priorities so the intended primary wins: standby 1 priority 110 (on primary)
4. Enable preempt so the higher-priority router reclaims active role once back online: standby 1 preempt
5. Test failover by shutting down the primary's interface and confirming the backup takes over the virtual IP.",High,"Generic/conceptual case - explain in your own words in the review log; no literal CLI capture required, but reasoning should reference realistic show-command fields",generic_conceptual
